policy_id,premium_pp,pv_premiums,pv_claims,pv_expenses,pv_commissions,pv_net_cf
271,53.7700000000,676109.8592764782,506375.5794365992,67835.3611669034,0.0000000000,101898.9186729756
272,37.5300000000,94478.3863582261,84919.1668192378,12753.2479754432,0.0000000000,-3194.0284364549
273,42.4300000000,8920.8730172348,8496.2146610687,1075.0040582491,0.0000000000,-650.3457020829
274,237.7100000000,732646.1092355615,974129.0129998456,15682.7261915141,0.0000000000,-257165.6299557982
275,85.6700000000,955158.2545814160,636411.8240568484,84283.1581385881,75153.2650291153,159310.0073568642
276,31.7100000000,89279.5877273574,70857.5895876844,14569.8644808651,0.0000000000,3852.1336588079
277,32.9600000000,183729.5898165241,122466.4854444870,48422.8276265382,24105.9121801841,-11265.6354346852
278,18.8600000000,36852.1756169088,35436.3221256128,10149.1700815797,0.0000000000,-8733.3165902837
279,26.4800000000,3077.7188558407,3161.8788205258,588.0959006635,0.0000000000,-672.2558653487
280,162.0300000000,1289296.7432782531,857981.6010602128,70289.6607178247,171270.9503789320,189754.5311212836
281,243.8200000000,647124.5077190693,594920.0955014781,13596.4317790823,0.0000000000,38607.9804385089
282,7.2900000000,45697.8472607974,31143.6920820796,33466.7981809023,2225.2366174900,-21137.8796196745
